City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code
Phenix City,53.0,Patrick Jones,Home Office,0.03,1,2012-01-03,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty Ezd ™ Binder With Locking Rings,Binders And Binder Accessories,12.5545,South,5704,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869
Lake Oswego,53.0,Alex Russell,Home Office,0.03,1,2012-01-03,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set With Brush",Pens & Art Supplies,24.55,West,1074,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035
Kearney,53.0,Bill Donatelli,Corporate,0.03,1,2012-01-03,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series Multiuse Premium Copy Paper (20Lb. And 84 Bright),Paper,-41.58,Central,4223,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847
Layton,53.0,Ann Steele,Corporate,0.0,1,2012-01-03,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic Kx-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,1663,896.49,2012-01-05,Delivery Truck,14.7,Utah,213.45,84041
Baton Rouge,53.0,Andy Reiter,Corporate,0.08,1,2012-01-03,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802
Kearney,53.0,Bill Donatelli,Corporate,0.01,1,2012-01-03,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones And Communication,-212.553,Central,4224,754.6555,2012-01-06,Regular Air,2.5,Nebraska,110.99,68847
Baton Rouge,53.0,Andy Reiter,Corporate,0.04,1,2012-01-03,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" X 9"", 12/Pack",Paper,32.44,South,1317,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802
Baton Rouge,53.0,Andy Reiter,Corporate,0.05,1,2012-01-03,9637,Low,49,0.37,Technology,Large Box,Polycom Viavideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,1316,28359.4,2012-01-10,Regular Air,24.49,Louisiana,574.74,70802
Bryan,53.0,Dave Hallsten,Home Office,0.06,1,2012-01-04,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair With 2-To-1 Synchro Tilt And Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,1039.56,2012-01-05,Delivery Truck,30.0,Texas,350.98,77803
Pharr,53.0,Tamara Dahlen,Corporate,0.03,1,2012-01-04,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets For Ring Binders,Binders And Binder Accessories,-76.015,Central,1193,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577
Pharr,53.0,Tamara Dahlen,Corporate,0.07,1,2012-01-04,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While You Were Out"" Message Book, One Form Per Page",Paper,8.33,Central,1194,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577
Bedford,53.0,Darren Budd,Consumer,0.07,1,2012-01-05,57253,Critical,48,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-335.24,Central,8013,12635.75,2012-01-05,Regular Air,35.0,Texas,279.48,76021
Bedford,53.0,Darren Budd,Consumer,0.04,1,2012-01-05,57253,Critical,25,0.55,Technology,Small Box,232,Telephones And Communication,667.449,Central,8015,2750.107,2012-01-05,Regular Air,5.26,Texas,125.99,76021
Dubuque,53.0,Marina Lichtenstein,Corporate,0.08,1,2012-01-05,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,1244.19,2012-01-06,Delivery Truck,43.32,Iowa,243.98,52001
Bedford,53.0,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg Officeworks 42"" Round Tables",Tables,-139.15575,Central,8014,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021
Bedford,53.0,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,43,0.58,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,1.74,Central,8011,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021
Norman,53.0,Pauline Chand,Small Business,0.02,1,2012-01-05,28451,Critical,41,0.59,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp With Clamp-Mount Base,Office Furnishings,2593.14,Central,3982,8958.46,2012-01-06,Regular Air,21.21,Oklahoma,209.84,73071
Ormond Beach,53.0,Valerie Dominguez,Corporate,0.09,1,2012-01-05,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma Stor-All™ Hanging File Box, 13 1/8""W X 12 1/4""D X 10 1/2""H",Storage & Organization,-131.08,South,3588,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174
Deer Park,53.0,Dorris Love,Home Office,0.05,1,2012-01-05,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 X 5-3/4",Paper,-32.48,East,47,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729
Fort Dodge,53.0,Matt Collins,Consumer,0.03,1,2012-01-05,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7Gb Dvd+Rw, 3/Pack",Computer Peripherals,-28.46,Central,164,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501
Bedford,53.0,Darren Budd,Consumer,0.06,1,2012-01-05,57253,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs With Adjustable Arms,Chairs & Chairmats,-1358.9,Central,8012,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021
Norman,53.0,Pauline Chand,Small Business,0.01,1,2012-01-05,28451,Critical,21,0.59,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1162.76,Central,3981,4201.08,2012-01-07,Regular Air,11.54,Oklahoma,194.3,73071
Monroe,53.0,Robert Waldorf,Home Office,0.0,1,2012-01-05,59232,High,23,0.4,Office Supplies,Small Box,"Ibm Multi-Purpose Copy Paper, 8 1/2 X 11"", Case",Paper,245.97,South,8291,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203
Mount Prospect,53.0,Susan Vittorini,Home Office,0.08,1,2012-01-05,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-188.5812,Central,7352,700.73,2012-01-07,Delivery Truck,26.3,Illinois,120.97,60056
Norman,53.0,Pauline Chand,Small Business,0.0,1,2012-01-05,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic Kx-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,4913.7,2012-01-07,Delivery Truck,17.85,Oklahoma,145.45,73071
Fort Dodge,53.0,Matt Collins,Consumer,0.01,1,2012-01-05,1028,High,11,0.59,Technology,Small Box,3285,Telephones And Communication,-60.39,Central,165,2021.147,2012-01-07,Regular Air,5.99,Iowa,205.99,50501
Bristol,53.0,Corey Roper,Small Business,0.02,1,2012-01-06,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,East,6773,2357.45,2012-01-06,Delivery Truck,35.84,Connecticut,100.98,6010
Galesburg,53.0,Julia West,Home Office,0.04,1,2012-01-06,23488,Critical,30,0.62,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-11053.6,Central,3284,26133.39,2012-01-07,Delivery Truck,44.55,Illinois,880.98,61401
Petersburg,53.0,Muhammed Yedwab,Consumer,0.03,1,2012-01-06,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford Earthwrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.61,South,2325,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805
Hilton Head Island,53.0,Craig Leslie,Consumer,0.03,1,2012-01-06,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones And Communication,-164.043,South,2003,61.7185,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915
Herndon,53.0,Tracy Collins,Consumer,0.06,1,2012-01-06,16961,Not Specified,27,0.51,Technology,Small Pack,Basf Silver 74 Minute Cd-R,Computer Peripherals,-37.08,South,2350,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170
Hilton Head Island,53.0,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,South,2001,3674.08,2012-01-08,Delivery Truck,30.0,South Carolina,150.98,29915
Royal Palm Beach,53.0,Victor Price,Consumer,0.05,1,2012-01-06,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,948,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411
Royal Palm Beach,53.0,Victor Price,Consumer,0.07,1,2012-01-06,6854,Medium,1,0.35,Office Supplies,Small Box,Gbc Velobinder Strips,Binders And Binder Accessories,-2.392,South,947,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411
Hilton Head Island,53.0,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,2002,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915
Herndon,53.0,Tracy Collins,Consumer,0.01,1,2012-01-06,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,2351,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170
Fairfax,53.0,Maribeth Schnelling,Corporate,0.09,1,2012-01-06,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,5794,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151
San Clemente,53.0,Julia Barnett,Home Office,0.03,1,2012-01-06,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,3283,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672
Fairfax,53.0,Maribeth Schnelling,Corporate,0.05,1,2012-01-06,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,5795,159.05,2012-01-10,Regular Air,35.0,Virginia,20.34,20151
Las Vegas,53.0,Chloris Kastensmidt,Consumer,0.08,1,2012-01-07,43909,High,46,0.37,Office Supplies,Small Box,"Gbc Pre-Punched Binding Paper, Plastic, White, 8-1/2"" X 11""",Binders And Binder Accessories,-199.134,West,6199,737.25,2012-01-08,Regular Air,13.18,Nevada,15.99,89115
Franklin Square,53.0,Jasper Cacioppo,Home Office,0.05,1,2012-01-07,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements For Hole-Punch Pages,Binders And Binder Accessories,-11.5805,East,450,10.58,2012-01-08,Regular Air,4.77,New York,1.98,11010
Franklin Square,53.0,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,3,0.41,Technology,Large Box,Canon Pc1060 Personal Laser Copier,Copiers And Fax,-2314.74,East,451,2119.67,2012-01-08,Express Air,24.49,New York,699.99,11010
Franklin Square,53.0,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,7,0.39,Technology,Large Box,Polycom Viewstation™ Isdn Videoconferencing Unit,Office Machines,102.61,East,452,45923.76,2012-01-08,Regular Air,24.49,New York,6783.02,11010
Norman,53.0,Pauline Chand,Small Business,0.07,1,2012-01-07,32295,High,11,0.58,Technology,Small Box,I1000,Telephones And Communication,-112.244,Central,4540,607.597,2012-01-08,Regular Air,5.99,Oklahoma,65.99,73071
Lubbock,53.0,George Ashbrook,Consumer,0.09,1,2012-01-07,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers By Gbc,Binders And Binder Accessories,60.2735,Central,2538,610.65,2012-01-09,Express Air,8.83,Texas,20.98,79424
Lubbock,53.0,George Ashbrook,Consumer,0.03,1,2012-01-07,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,Central,2539,158.04,2012-01-10,Regular Air,14.52,Texas,73.98,79424
Fresno,53.0,Benjamin Venier,Small Business,0.05,1,2012-01-07,33923,Low,34,0.58,Technology,Small Box,I1000,Telephones And Communication,425.754,West,4778,1961.7915,2012-01-11,Regular Air,5.99,California,65.99,93727
Brunswick,53.0,Julie Kriz,Corporate,0.01,1,2012-01-07,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,East,5733,11.57,2012-01-12,Regular Air,0.7,Maine,1.76,4011
Garfield Heights,53.0,Sandra Flanagan,Home Office,0.03,1,2012-01-08,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,East,612,75.77,2012-01-08,Regular Air,8.99,Ohio,22.72,44125
Garfield Heights,53.0,Sandra Flanagan,Home Office,0.07,1,2012-01-08,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,East,611,64.29,2012-01-08,Regular Air,0.99,Ohio,4.13,44125
Myrtle Beach,53.0,Luke Schmidt,Home Office,0.07,1,2012-01-08,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,324.28,2012-01-09,Regular Air,3.5,South Carolina,14.56,29577
Edmonds,53.0,Ruben Dartt,Corporate,0.03,1,2012-01-08,7203,High,25,0.38,Office Supplies,Small Box,Gbc Docubind Tl300 Electric Binding System,Binders And Binder Accessories,9296.348,West,998,21752.01,2012-01-10,Regular Air,19.99,Washington,896.99,98026
Pasadena,53.0,Mark Haberlin,Small Business,0.05,1,2012-01-09,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4451,145.19,2012-01-09,Regular Air,3.97,California,3.28,91104
Lawton,53.0,Joni Blumstein,Home Office,0.02,1,2012-01-09,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels For Typewriters, On Rolls, White, 250/Roll",Labels,-38.9,Central,2571,45.87,2012-01-10,Regular Air,6.89,Oklahoma,4.13,73505
Pasadena,53.0,Mark Haberlin,Small Business,0.01,1,2012-01-09,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco Presstex® Data Binder With Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders And Binder Accessories,-53.8545,West,4450,68.5,2012-01-10,Regular Air,7.57,California,5.38,91104
Gilroy,53.0,Cynthia Voltz,Corporate,0.0,1,2012-01-09,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,West,1173,541.45,2012-01-11,Express Air,8.99,California,11.66,95020
Plainfield,53.0,Yana Sorensen,Corporate,0.07,1,2012-01-09,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips To Go,Rubber Bands,11.32,East,8161,121.87,2012-01-11,Regular Air,1.35,New Jersey,3.29,7060
Augusta,53.0,Mark Haberlin,Small Business,0.09,1,2012-01-09,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,East,4449,64.11,2012-01-11,Regular Air,0.97,Maine,2.78,4330
Madison,53.0,Olvera Toch,Home Office,0.1,1,2012-01-09,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71.0,Central,5666,117.88,2012-01-14,Regular Air,2.4,Wisconsin,2.6,53711
King Of Prussia,53.0,Benjamin Patterson,Corporate,0.04,1,2012-01-09,47138,Low,1,0.59,Technology,Small Box,M70,Telephones And Communication,-506.308,East,6627,107.95,2012-01-16,Regular Air,8.99,Pennsylvania,125.99,19406
East Lansing,53.0,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,Central,7731,2137.1,2012-01-11,Delivery Truck,46.74,Michigan,70.98,48823
Denton,53.0,Darren Powers,Corporate,0.06,1,2012-01-10,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,Central,2046,63.14,2012-01-11,Regular Air,3.97,Texas,3.28,76201
Lehi,53.0,Ann Steele,Corporate,0.02,1,2012-01-10,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,112.81,2012-01-11,Regular Air,9.17,Utah,6.48,84043
Pittsburgh,53.0,Rob Haberlin,Consumer,0.0,1,2012-01-10,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, Diskette 44766 Hghld3.52Hd/Fm, 10/Pack",Computer Peripherals,-128.47,East,4787,164.78,2012-01-11,Regular Air,5.14,Pennsylvania,5.02,15122
Essex Junction,53.0,Giulietta Dortch,Corporate,0.02,1,2012-01-10,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute Cd-R Spindle, 50/Pack",Computer Peripherals,420.05,East,4073,1177.5,2012-01-11,Regular Air,1.99,Vermont,33.98,5451
Denton,53.0,Darren Powers,Corporate,0.01,1,2012-01-10,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,Central,2045,199.12,2012-01-12,Regular Air,0.96,Texas,8.34,76201
Hazelwood,53.0,Maria Bertelson,Home Office,0.01,1,2012-01-10,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,Central,3965,523.58,2012-01-12,Express Air,19.99,Mo,161.55,63042
East Lansing,53.0,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,Central,7732,571.17,2012-01-12,Regular Air,2.36,Michigan,11.55,48823
Minnetonka,53.0,Sean Wendt,Corporate,0.09,1,2012-01-10,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,Central,4425,4906.85,2012-01-12,Regular Air,19.99,Minnesota,162.93,55345
Hazelwood,53.0,Maria Bertelson,Home Office,0.05,1,2012-01-10,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,Central,3964,1307.35,2012-01-14,Express Air,8.65,Mo,30.42,63042
Pleasure Ridge Park,53.0,Michelle Moray,Corporate,0.02,1,2012-01-10,20037,Low,35,0.42,Furniture,Small Box,"Deflect-O Supertray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2775,1009.42,2012-01-15,Regular Air,8.55,Kentucky,29.18,40258
Pleasure Ridge Park,53.0,Michelle Moray,Corporate,0.03,1,2012-01-10,20037,Low,49,0.57,Technology,Jumbo Drum,Panasonic Kx-P3200 Dot Matrix Printer,Office Machines,4913.16,South,2776,15137.11,2012-01-15,Delivery Truck,14.7,Kentucky,297.64,40258
Trenton,53.0,Bradley Drucker,Small Business,0.03,1,2012-01-11,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,East,4758,216.87,2012-01-11,Regular Air,5.01,New Jersey,11.34,8601
Bellingham,53.0,Bradley Drucker,Small Business,0.08,1,2012-01-11,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic Kx-P3200 Dot Matrix Printer,Office Machines,653.68,East,4754,4531.34,2012-01-11,Delivery Truck,14.7,Ma,297.64,2019
Beverly,53.0,Bradley Drucker,Small Business,0.02,1,2012-01-11,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,East,4755,574.5,2012-01-12,Regular Air,14.37,Ma,12.99,1915
Hanson,53.0,Bradley Drucker,Small Business,0.06,1,2012-01-11,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,East,4756,262.94,2012-01-12,Regular Air,6.75,Ma,14.42,2341
Springfield,53.0,Alan Barnes,Corporate,0.06,1,2012-01-11,19655,High,31,0.51,Technology,Small Pack,Verbatim Dvd-R 4.7Gb Authoring Disc,Computer Peripherals,304.42,Central,2726,1143.45,2012-01-12,Regular Air,1.99,Illinois,39.24,62701
Hawthorne,53.0,Bradley Drucker,Small Business,0.05,1,2012-01-11,33797,Not Specified,29,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,-103.78,East,4757,138.17,2012-01-13,Express Air,6.6,New Jersey,4.14,7506
Lebanon,53.0,Andy Gerbode,Consumer,0.08,1,2012-01-11,21830,Low,19,0.56,Technology,Jumbo Box,Okidata Ml320 Series Turbo Dot Matrix Printers,Office Machines,906.8,South,3040,6991.65,2012-01-18,Delivery Truck,12.06,Tennessee,399.98,37087
Florence,53.0,Cindy Schnelling,Corporate,0.09,1,2012-01-12,20549,Not Specified,40,0.67,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,-568.71,South,2855,1030.09,2012-01-13,Regular Air,19.99,Kentucky,27.75,41042
Englewood,53.0,Greg Matthias,Home Office,0.05,1,2012-01-12,7461,Low,12,0.55,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,593.79,West,1024,4080.3,2012-01-14,Delivery Truck,39.0,Colorado,350.99,80112
Gaithersburg,53.0,Rick Reed,Consumer,0.04,1,2012-01-12,43362,Critical,33,0.35,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,2.72,East,6123,58.48,2012-01-14,Regular Air,1.0,Maryland,1.68,20877
Fort Thomas,53.0,Liz Price,Consumer,0.1,1,2012-01-12,27813,Medium,10,0.74,Technology,Small Box,Targus Usb Numeric Keypad,Computer Peripherals,-131.03,South,3901,401.14,2012-01-14,Regular Air,6.5,Kentucky,40.98,41075
Gaithersburg,53.0,Rick Reed,Consumer,0.03,1,2012-01-12,43362,Critical,45,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair With 2-To-1 Synchro Tilt And Mesh Fabric Seat,Chairs & Chairmats,4276.73,East,6122,15963.09,2012-01-15,Delivery Truck,30.0,Maryland,350.98,20877
Springfield,53.0,Guy Thornton,Corporate,0.01,1,2012-01-12,37862,Not Specified,27,0.57,Office Supplies,Small Box,Belkin 8 Outlet Surgemaster Ii Gold Surge Protector,Appliances,452.49,Central,5327,1603.27,2012-01-15,Regular Air,3.99,Mo,59.98,65807
Englewood,53.0,Greg Matthias,Home Office,0.0,1,2012-01-12,7461,Low,28,0.38,Office Supplies,Small Box,"#10- 4 1/8"" X 9 1/2"" Recycled Envelopes",Envelopes,111.4,West,1025,260.79,2012-01-16,Regular Air,1.39,Colorado,8.74,80112
Englewood,53.0,Greg Matthias,Home Office,0.02,1,2012-01-12,7461,Low,44,0.83,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 Oz. Box",Rubber Bands,-16.72,West,1026,90.35,2012-01-16,Regular Air,0.7,Colorado,1.98,80112
College Park,53.0,Michelle Huthwaite,Home Office,0.06,1,2012-01-13,51623,Critical,17,0.43,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,-66.58,East,7241,39.23,2012-01-13,Regular Air,5.33,Maryland,2.08,20740
Manteca,53.0,Brian Stugart,Corporate,0.02,1,2012-01-13,13602,Low,13,0.37,Office Supplies,Small Box,Xerox 1910,Paper,267.67,West,1895,660.99,2012-01-13,Regular Air,5.09,California,48.04,95336
Pembroke Pines,53.0,Mike Gockenbach,Consumer,0.07,1,2012-01-13,25541,Low,50,0.36,Office Supplies,Small Box,Xerox 1903,Paper,-111.34,South,3582,297.76,2012-01-15,Regular Air,5.79,Florida,5.98,33024
Manteca,53.0,Brian Stugart,Corporate,0.03,1,2012-01-13,13602,Low,3,0.56,Technology,Jumbo Drum,Panasonic Kx-P1150 Dot Matrix Printer,Office Machines,-377.9019,West,1894,445.34,2012-01-18,Delivery Truck,17.85,California,145.45,95336
Post Falls,53.0,Tamara Manning,Corporate,0.06,1,2012-01-14,43911,Medium,29,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-53.89,West,6200,577.89,2012-01-14,Regular Air,11.17,Idaho,19.99,83854
